样本编号,视频文件名,原始转写文本 (Raw Text),情感极性预测 (Polarity),情感强度预测 (Intensity),主要参考模态 (Primary Modality),文本模态贡献度 (Text %),语音模态贡献度 (Audio %),视觉模态贡献度 (Vision %),关键证据时序步长区间,时间步显著性序列 (Saliency JSON),语音/视频关键时间段 (秒),视觉关键视频帧区间 (Frame),文本核心情感关键词句
test_01,01.mp4,Replacing these wear components when replacing the timing belt is essential to ensuring the new belt performs to its mileage requirements,Neutral,0.5501,文本模态 (Text),68.38,13.61,18.01,"[10, 12]","[0.933754, 0.913275, 0.927515, 0.868549, 0.881576, 0.936053, 0.891822, 0.930374, 0.934469, 0.918244, 0.988192, 0.982339, 1.0, 0.987512, 0.959709, 0.908776, 0.947255, 0.977134, 0.988039, 0.954439, 0.943449, 0.937874, 0.94611, 0.930505, 0.947091, 0.951712, 0.937804, 0.954332, 0.933533, 0.896806, 0.897468, 0.896399, 0.889446, 0.897459, 0.88821, 0.87561, 0.947988, 0.912789, 0.928886, 0.896828, 0.906207, 0.884715, 0.880181, 0.875765, 0.889304, 0.916432, 0.887124, 0.923733, 0.913188, 0.976941]",1.8s - 2.34s,53 - 70帧,when
test_02,02.mp4,We want to live by each other’s happiness - not by each other’s misery.,Neutral,0.124,文本模态 (Text),72.74,18.54,8.72,"[0, 2]","[1.0, 0.846073, 0.956904, 0.940428, 0.891465, 0.860108, 0.941405, 0.967082, 0.893926, 0.89493, 0.941464, 0.925, 0.933592, 0.827131, 0.900071, 0.927086, 0.937075, 0.885088, 0.774523, 0.872622, 0.823442, 0.799522, 0.802395, 0.82789, 0.809623, 0.790601, 0.91701, 0.898818, 0.917052, 0.913578, 0.892832, 0.900702, 0.884814, 0.85798, 0.868755, 0.890363, 0.833555, 0.845019, 0.853494, 0.884836, 0.877424, 0.85715, 0.907501, 0.854598, 0.86031, 0.809298, 0.879697, 0.85232, 0.826874, 0.837466]",0.0s - 0.22s,0 - 6帧,We
test_03,03.mp4,"There's one lender at the moment which I think is just Bankwest who don't take rental income into account, they take rental yield into account.",Neutral,-0.0966,文本模态 (Text),53.31,28.08,18.61,"[26, 28]","[0.918186, 0.972164, 0.962853, 0.971346, 0.950193, 0.938385, 0.952862, 0.924852, 0.912275, 0.937638, 0.937309, 0.941197, 0.941667, 0.956696, 0.959921, 0.915714, 0.924476, 0.948119, 0.969965, 0.989397, 0.970406, 0.991214, 0.951283, 0.947868, 0.979804, 0.95897, 0.98686, 0.974956, 1.0, 0.967782, 0.983487, 0.962529, 0.951946, 0.977206, 0.949539, 0.943796, 0.946951, 0.940467, 0.943836, 0.945317, 0.933957, 0.940346, 0.951973, 0.951082, 0.95844, 0.952954, 0.952292, 0.961419, 0.970776, 0.963799]",8.32s - 9.28s,249 - 278帧,don't
test_04,04.mp4,"If I blow it at the team exercise, should I kiss my chances of cheering ""GO BLUE"" goodbye?] Absolutely not.",Positive,0.9548,文本模态 (Text),34.44,32.17,33.39,"[45, 47]","[0.988375, 0.955503, 0.930073, 0.954504, 0.936526, 0.981884, 0.966859, 0.974614, 0.963797, 0.969356, 0.904494, 0.912089, 0.927739, 0.925885, 0.972954, 0.956733, 0.933021, 0.949016, 0.948197, 0.973944, 0.952764, 0.864835, 0.918541, 0.96434, 0.911639, 0.905515, 0.951773, 0.984108, 0.97215, 0.96714, 0.971021, 0.964245, 0.968454, 0.969792, 0.975686, 0.981187, 0.97087, 0.973746, 0.976856, 0.961693, 0.963639, 0.955336, 0.975399, 0.990944, 0.987507, 0.993213, 0.996506, 1.0, 0.991601, 0.968966]",8.31s - 8.86s,249 - 265帧,Absolutely
test_05,05.mp4,"Hi, my name is Chloe, video marketer for Red Wagon Marketing.",Positive,0.7064,文本模态 (Text),59.36,10.03,30.61,"[0, 2]","[1.0, 0.937625, 0.96161, 0.922628, 0.907056, 0.931908, 0.857523, 0.894153, 0.892484, 0.958807, 0.944958, 0.903912, 0.916179, 0.914161, 0.90682, 0.891265, 0.897053, 0.880875, 0.905817, 0.909018, 0.913218, 0.917962, 0.927115, 0.923128, 0.913337, 0.931346, 0.911392, 0.939328, 0.92907, 0.949382, 0.954361, 0.888068, 0.924587, 0.914778, 0.913893, 0.916006, 0.847519, 0.913861, 0.91426, 0.916403, 0.89997, 0.894558, 0.885601, 0.891051, 0.870217, 0.883117, 0.888547, 0.886289, 0.918045, 0.916118]",0.0s - 0.37s,0 - 10帧,"Hi,"
test_06,06.mp4,"If you're a fan of dancing in that sense, just like to watch people dance, see impressive dance moves then you might want to check out this movie solely for that",Neutral,0.446,文本模态 (Text),51.17,33.09,15.73,"[42, 44]","[0.87737, 0.937249, 0.947445, 0.988712, 0.902697, 0.866881, 0.859163, 0.876873, 0.945703, 0.89055, 0.90132, 0.859601, 0.891968, 0.912174, 0.907345, 0.900273, 0.905855, 0.931968, 0.942952, 0.896129, 0.94924, 0.890252, 0.930101, 0.907486, 0.868023, 0.92589, 0.905594, 0.897566, 0.929471, 0.934523, 0.845965, 0.889431, 0.914839, 0.856649, 0.929526, 0.925092, 1.0, 0.948465, 0.928824, 0.924464, 0.925353, 0.921931, 0.994748, 0.978211, 0.928021, 0.958185, 0.951625, 0.934577, 0.953689, 0.935942]",8.18s - 8.76s,245 - 262帧,this
test_07,07.mp4,"As Linn’s associate editor Michael Baadke reports in our November 28 issue, attendees “enthusiastically discussed the topics of growing the hobby, the future of stamp shows, and dealers and philatelic partnerships, along with ways the leading organizations involved in the stamp hobby can work together to make it succeed and grow",Positive,0.9775,文本模态 (Text),78.26,11.81,9.93,"[29, 31]","[0.943215, 0.965644, 0.916285, 0.904066, 0.922271, 0.936629, 0.942679, 0.95949, 0.940526, 0.927179, 0.931606, 0.918282, 0.958174, 0.929316, 0.936135, 0.94659, 0.938174, 0.930717, 0.95575, 0.94854, 0.950735, 0.964633, 0.957175, 0.955477, 0.978611, 0.979258, 0.965842, 0.965688, 0.944539, 1.0, 0.967969, 0.967111, 0.969033, 0.919017, 0.914297, 0.956811, 0.973763, 0.926507, 0.966076, 0.928301, 0.936254, 0.939748, 0.948402, 0.97632, 0.976302, 0.963808, 0.954608, 0.933594, 0.946348, 0.982822]",13.98s - 15.42s,419 - 462帧,"philatelic partnerships, along"
test_08,08.mp4,"That brings us to tonight, the Universal Design Grand Challenge",Positive,0.5929,文本模态 (Text),82.15,9.38,8.47,"[31, 33]","[0.974162, 0.937382, 0.923884, 0.95375, 0.929804, 0.915014, 0.962609, 0.937468, 0.891417, 0.952826, 0.863826, 0.910914, 0.944053, 0.929643, 0.949306, 0.969335, 0.967669, 0.968258, 0.994112, 0.995343, 0.984899, 0.976921, 0.966686, 0.9634, 0.951717, 0.945547, 0.949243, 0.939837, 0.969875, 1.0, 0.978982, 0.990667, 0.987267, 0.998695, 0.98153, 0.971596, 0.981653, 0.973403, 0.949537, 0.95443, 0.944438, 0.947447, 0.942197, 0.94624, 0.959615, 0.955547, 0.948642, 0.965124, 0.963198, 0.965185]",4.94s - 5.42s,148 - 162帧,Universal
test_09,09.mp4,"(uhh) I did not like this movie at all, I would not recommend it",Negative,-1.8935,文本模态 (Text),95.09,2.81,2.09,"[0, 2]","[1.0, 0.840201, 0.899894, 0.883301, 0.850645, 0.870831, 0.813425, 0.816295, 0.84373, 0.789457, 0.79185, 0.784414, 0.838959, 0.85002, 0.827566, 0.795359, 0.857681, 0.753343, 0.761924, 0.793719, 0.802513, 0.798179, 0.836903, 0.793215, 0.801852, 0.885375, 0.848154, 0.81852, 0.832567, 0.801353, 0.839796, 0.846097, 0.840444, 0.863054, 0.83263, 0.813766, 0.81228, 0.826147, 0.812486, 0.828155, 0.819791, 0.838884, 0.81645, 0.817809, 0.859839, 0.776894, 0.809611, 0.869669, 0.797202, 0.835224]",0.0s - 0.68s,0 - 20帧,(uhh)
test_10,10.mp4,(umm) And you know I really do like to see fluffy chick flicks sometimes so I'm not against that but this one was pretty terrible,Negative,-1.1859,文本模态 (Text),58.25,9.98,31.78,"[31, 33]","[0.984896, 0.976658, 0.952678, 0.962758, 0.969445, 0.940968, 0.946896, 0.925275, 0.92873, 0.934912, 0.94608, 0.962759, 0.964261, 0.967688, 0.963279, 0.983884, 0.951176, 0.957401, 0.963463, 0.957265, 0.979482, 0.930998, 0.958013, 0.933699, 0.912481, 0.960711, 0.935606, 0.961539, 0.97302, 0.94846, 0.964789, 1.0, 0.994021, 0.986563, 0.98486, 0.98155, 0.981552, 0.948304, 0.95671, 0.931369, 0.940193, 0.984919, 0.939554, 0.951362, 0.989261, 0.991042, 0.990588, 0.984555, 0.969279, 0.993511]",6.72s - 7.37s,201 - 221帧,I'm not
